,N,correlation_time,correlation_length,N_solutions
0,10,100,10,0
1,10,1000,10,1
2,10,10000,10,2
3,10,100,15,0
4,10,1000,15,2
5,10,10000,15,2
6,10,100,20,0
7,10,1000,20,1
8,10,10000,20,2
9,10,100,30,0
10,10,1000,30,1
11,10,10000,30,2
12,100,100,10,0
13,100,1000,10,1
14,100,10000,10,2
15,100,100,15,0
16,100,1000,15,1
17,100,10000,15,2
18,100,100,20,0
19,100,1000,20,1
20,100,10000,20,2
21,100,100,30,0
22,100,1000,30,1
23,100,10000,30,2
24,1000,100,10,0
25,1000,1000,10,1
26,1000,10000,10,1
27,1000,100,15,0
28,1000,1000,15,1
29,1000,10000,15,1
30,1000,100,20,0
31,1000,1000,20,1
32,1000,10000,20,2
33,1000,100,30,0
34,1000,1000,30,1
35,1000,10000,30,2
36,10000,100,10,0
37,10000,1000,10,1
38,10000,10000,10,3
39,10000,100,15,0
40,10000,1000,15,1
41,10000,10000,15,2
42,10000,100,20,0
43,10000,1000,20,1
44,10000,10000,20,3
45,10000,100,30,0
46,10000,1000,30,1
47,10000,10000,30,2
48,100000,100,10,0
49,100000,1000,10,1
50,100000,10000,10,2
51,100000,100,15,0
52,100000,1000,15,1
53,100000,10000,15,2
54,100000,100,20,0
55,100000,1000,20,1
56,100000,10000,20,1
57,100000,100,30,0
58,100000,1000,30,1
59,100000,10000,30,3
