,N,correlation_time,correlation_length,seed,survival_time
0,100000,100,20,509,412.0
1,100000,100,20,509,791.0
2,100000,100,20,509,928.0
3,100000,100,20,509,465.0
4,100000,100,20,509,341.0
5,100000,100,20,509,1348.0
6,100000,100,20,509,803.0
7,100000,100,20,509,946.0
8,100000,100,20,509,319.0
9,100000,100,20,509,1120.0
10,10,100,15,13,316.0
11,10,100,15,13,203.0
12,10,100,15,13,440.0
13,10,100,15,13,1007.0
14,10,100,15,13,227.0
15,10,100,15,13,216.0
16,10,100,15,13,227.0
17,10,100,15,13,496.0
18,10,100,15,13,160.0
19,10,100,15,13,282.0
20,10000,1000,10,402,10000.0
21,10000,1000,10,402,10000.0
22,10000,1000,10,402,9842.0
23,10000,1000,10,402,10000.0
24,10000,1000,10,402,10000.0
25,10000,1000,10,402,10000.0
26,10000,1000,10,402,10000.0
27,10000,1000,10,402,10000.0
28,10000,1000,10,402,10000.0
29,10000,1000,10,402,10000.0
30,100000,1000,10,528,10000.0
31,100000,1000,10,528,10000.0
32,100000,1000,10,528,10000.0
33,100000,1000,10,528,10000.0
34,100000,1000,10,528,10000.0
35,100000,1000,10,528,10000.0
36,100000,1000,10,528,4917.0
37,100000,1000,10,528,10000.0
38,100000,1000,10,528,10000.0
39,100000,1000,10,528,10000.0
40,10,10000,20,100,246.0
41,10,10000,20,100,168.0
42,10,10000,20,100,704.0
43,10,10000,20,100,270.0
44,10,10000,20,100,421.0
45,10,10000,20,100,264.0
46,10,10000,20,100,227.0
47,10,10000,20,100,696.0
48,10,10000,20,100,396.0
49,10,10000,20,100,1507.0
50,1000,10000,20,344,620.0
51,1000,10000,20,344,216.0
52,1000,10000,20,344,1033.0
53,1000,10000,20,344,527.0
54,1000,10000,20,344,610.0
55,1000,10000,20,344,394.0
56,1000,10000,20,344,607.0
57,1000,10000,20,344,81.0
58,1000,10000,20,344,451.0
59,1000,10000,20,344,1973.0
60,1000,1000,20,300,220.0
61,1000,1000,20,300,554.0
62,1000,1000,20,300,521.0
63,1000,1000,20,300,400.0
64,1000,1000,20,300,402.0
65,1000,1000,20,300,838.0
66,1000,1000,20,300,435.0
67,1000,1000,20,300,665.0
68,1000,1000,20,300,428.0
69,1000,1000,20,300,479.0
70,10,10000,15,92,405.0
71,10,10000,15,92,425.0
72,10,10000,15,92,189.0
73,10,10000,15,92,850.0
74,10,10000,15,92,210.0
75,10,10000,15,92,213.0
76,10,10000,15,92,764.0
77,10,10000,15,92,470.0
78,10,10000,15,92,211.0
79,10,10000,15,92,316.0
80,1000,1000,15,290,361.0
81,1000,1000,15,290,290.0
82,1000,1000,15,290,260.0
83,1000,1000,15,290,316.0
84,1000,1000,15,290,431.0
85,1000,1000,15,290,317.0
86,1000,1000,15,290,456.0
87,1000,1000,15,290,312.0
88,1000,1000,15,290,252.0
89,1000,1000,15,290,417.0
90,100,1000,30,198,420.0
91,100,1000,30,198,178.0
92,100,1000,30,198,1678.0
93,100,1000,30,198,481.0
94,100,1000,30,198,1972.0
95,100,1000,30,198,191.0
96,100,1000,30,198,349.0
97,100,1000,30,198,391.0
98,100,1000,30,198,372.0
99,100,1000,30,198,651.0
100,1000,10000,10,326,446.0
101,1000,10000,10,326,213.0
102,1000,10000,10,326,351.0
103,1000,10000,10,326,718.0
104,1000,10000,10,326,247.0
105,1000,10000,10,326,711.0
106,1000,10000,10,326,231.0
107,1000,10000,10,326,649.0
108,1000,10000,10,326,717.0
109,1000,10000,10,326,740.0
110,100,100,30,153,832.0
111,100,100,30,153,278.0
112,100,100,30,153,396.0
113,100,100,30,153,754.0
114,100,100,30,153,492.0
115,100,100,30,153,354.0
116,100,100,30,153,225.0
117,100,100,30,153,332.0
118,100,100,30,153,156.0
119,100,100,30,153,590.0
120,10,10000,15,90,731.0
121,10,10000,15,90,442.0
122,10,10000,15,90,452.0
123,10,10000,15,90,564.0
124,10,10000,15,90,438.0
125,10,10000,15,90,90.0
126,10,10000,15,90,496.0
127,10,10000,15,90,792.0
128,10,10000,15,90,247.0
129,10,10000,15,90,188.0
130,100,10000,30,234,316.0
131,100,10000,30,234,170.0
132,100,10000,30,234,365.0
133,100,10000,30,234,197.0
134,100,10000,30,234,222.0
135,100,10000,30,234,233.0
136,100,10000,30,234,326.0
137,100,10000,30,234,499.0
138,100,10000,30,234,913.0
139,100,10000,30,234,207.0
140,1000,10000,15,336,1685.0
141,1000,10000,15,336,670.0
142,1000,10000,15,336,609.0
143,1000,10000,15,336,1195.0
144,1000,10000,15,336,342.0
145,1000,10000,15,336,1062.0
146,1000,10000,15,336,669.0
147,1000,10000,15,336,347.0
148,1000,10000,15,336,408.0
149,1000,10000,15,336,255.0
150,100000,10000,30,596,797.0
151,100000,10000,30,596,179.0
152,100000,10000,30,596,293.0
153,100000,10000,30,596,468.0
154,100000,10000,30,596,142.0
155,100000,10000,30,596,492.0
156,100000,10000,30,596,713.0
157,100000,10000,30,596,443.0
158,100000,10000,30,596,739.0
159,100000,10000,30,596,539.0
160,1000,1000,10,286,590.0
161,1000,1000,10,286,1216.0
162,1000,1000,10,286,1269.0
163,1000,1000,10,286,472.0
164,1000,1000,10,286,361.0
165,1000,1000,10,286,730.0
166,1000,1000,10,286,1011.0
167,1000,1000,10,286,493.0
168,1000,1000,10,286,1229.0
169,1000,1000,10,286,788.0
170,100,10000,30,235,128.0
171,100,10000,30,235,55.0
172,100,10000,30,235,478.0
173,100,10000,30,235,62.0
174,100,10000,30,235,54.0
175,100,10000,30,235,53.0
176,100,10000,30,235,198.0
177,100,10000,30,235,190.0
178,100,10000,30,235,523.0
179,100,10000,30,235,55.0
180,100,100,30,154,1443.0
181,100,100,30,154,324.0
182,100,100,30,154,312.0
183,100,100,30,154,318.0
184,100,100,30,154,755.0
185,100,100,30,154,643.0
186,100,100,30,154,289.0
187,100,100,30,154,173.0
188,100,100,30,154,677.0
189,100,100,30,154,212.0
190,10,10000,30,117,183.0
191,10,10000,30,117,158.0
192,10,10000,30,117,411.0
193,10,10000,30,117,100.0
194,10,10000,30,117,128.0
195,10,10000,30,117,121.0
196,10,10000,30,117,191.0
197,10,10000,30,117,238.0
198,10,10000,30,117,1490.0
199,10,10000,30,117,230.0
200,100,100,10,122,608.0
201,100,100,10,122,463.0
202,100,100,10,122,390.0
203,100,100,10,122,401.0
204,100,100,10,122,499.0
205,100,100,10,122,458.0
206,100,100,10,122,312.0
207,100,100,10,122,328.0
208,100,100,10,122,324.0
209,100,100,10,122,362.0
210,1000,1000,20,309,379.0
211,1000,1000,20,309,686.0
212,1000,1000,20,309,142.0
213,1000,1000,20,309,238.0
214,1000,1000,20,309,523.0
