,N,correlation_time,correlation_length,N_solutions
0,10,100,10,3
1,10,1000,10,3
2,10,10000,10,5
3,10,100,15,3
4,10,1000,15,4
5,10,10000,15,4
6,10,100,20,3
7,10,1000,20,3
8,10,10000,20,4
9,10,100,30,3
10,10,1000,30,3
11,10,10000,30,3
12,100,100,10,3
13,100,1000,10,4
14,100,10000,10,4
15,100,100,15,2
16,100,1000,15,2
17,100,10000,15,2
18,100,100,20,3
19,100,1000,20,5
20,100,10000,20,2
21,100,100,30,2
22,100,1000,30,4
23,100,10000,30,2
24,1000,100,10,3
25,1000,1000,10,5
26,1000,10000,10,4
27,1000,100,15,4
28,1000,1000,15,5
29,1000,10000,15,3
30,1000,100,20,4
31,1000,1000,20,2
32,1000,10000,20,3
33,1000,100,30,3
34,1000,1000,30,3
35,1000,10000,30,3
36,10000,100,10,5
37,10000,1000,10,6
38,10000,10000,10,5
39,10000,100,15,4
40,10000,1000,15,6
41,10000,10000,15,4
42,10000,100,20,3
43,10000,1000,20,4
44,10000,10000,20,3
45,10000,100,30,3
46,10000,1000,30,2
47,10000,10000,30,3
48,100000,100,10,5
49,100000,1000,10,4
50,100000,10000,10,5
51,100000,100,15,5
52,100000,1000,15,4
53,100000,10000,15,5
54,100000,100,20,4
55,100000,1000,20,4
56,100000,10000,20,2
57,100000,100,30,5
58,100000,1000,30,4
59,100000,10000,30,3
