,N_solutions,survival_mean
0,3,402.07000000000005
1,3,437.45
2,5,600.86
3,3,461.71999999999997
4,4,515.1
5,4,566.05
6,3,548.4200000000001
7,3,535.01
8,4,518.1400000000001
9,3,534.49
10,3,640.49
11,3,510.43999999999994
12,3,521.26
13,4,416.31000000000006
14,4,638.29
15,2,555.36
16,2,497.62000000000006
17,2,493.61
18,3,568.1
19,5,551.62
20,2,486.43999999999994
21,2,470.5400000000001
22,4,662.7099999999999
23,2,358.61
24,3,685.3500000000001
25,5,468.23
26,4,645.0000000000001
27,4,514.2
28,5,2516.8500000000004
29,3,1500.3200000000002
30,4,620.92
31,2,521.98
32,3,1492.3400000000001
33,3,618.8500000000001
34,3,575.5799999999999
35,3,487.02
36,5,812.0899999999999
37,6,2883.17
38,5,3123.73
39,4,1433.46
40,6,7063.539999999999
41,4,5993.86
42,3,3365.1099999999997
43,4,2379.4300000000003
44,3,6105.05
45,3,4940.5599999999995
46,2,3309.9200000000005
47,3,2311.77
48,5,1423.2999999999997
49,4,1774.55
50,5,1827.0899999999997
51,5,549.6800000000001
52,4,8588.05
53,5,5094.2
54,4,3243.08
55,4,478.37142857142857
56,2,8515.528571428573
57,5,7811.0
58,4,1872.9857142857145
59,3,1317.6750000000002
