,N,correlation_time,correlation_length,seed,survival_time
0,1000,100,15,250,10000.0
1,1000,100,15,250,10000.0
2,1000,100,15,250,10000.0
3,1000,100,15,250,10000.0
4,1000,100,15,250,10000.0
5,1000,100,15,250,10000.0
6,1000,100,15,250,10000.0
7,1000,100,15,250,10000.0
8,1000,100,15,250,10000.0
9,1000,100,15,250,10000.0
10,10000,10000,10,445,10000.0
11,10000,10000,10,445,10000.0
12,10000,10000,10,445,10000.0
13,10000,10000,10,445,10000.0
14,10000,10000,10,445,10000.0
15,10000,10000,10,445,10000.0
16,10000,10000,10,445,10000.0
17,10000,10000,10,445,10000.0
18,10000,10000,10,445,10000.0
19,10000,10000,10,445,10000.0
20,10000,1000,30,436,10000.0
21,10000,1000,30,436,10000.0
22,10000,1000,30,436,10000.0
23,10000,1000,30,436,10000.0
24,10000,1000,30,436,10000.0
25,10000,1000,30,436,10000.0
26,10000,1000,30,436,10000.0
27,10000,1000,30,436,10000.0
28,10000,1000,30,436,10000.0
29,10000,1000,30,436,10000.0
30,10000,100,15,370,10000.0
31,10000,100,15,370,10000.0
32,10000,100,15,370,10000.0
33,10000,100,15,370,10000.0
34,10000,100,15,370,10000.0
35,10000,100,15,370,10000.0
36,10000,100,15,370,10000.0
37,10000,100,15,370,10000.0
38,10000,100,15,370,10000.0
39,10000,100,15,370,10000.0
40,10,100,20,28,10000.0
41,10,100,20,28,10000.0
42,10,100,20,28,10000.0
43,10,100,20,28,10000.0
44,10,100,20,28,10000.0
45,10,100,20,28,10000.0
46,10,100,20,28,10000.0
47,10,100,20,28,10000.0
48,10,100,20,28,10000.0
49,10,100,20,28,10000.0
50,100000,100,30,516,10000.0
51,100000,100,30,516,10000.0
52,100000,100,30,516,10000.0
53,100000,100,30,516,10000.0
54,100000,100,30,516,10000.0
55,100000,100,30,516,10000.0
56,100000,100,30,516,10000.0
57,100000,100,30,516,10000.0
58,100000,100,30,516,10000.0
59,100000,100,30,516,10000.0
60,100000,10000,10,565,10000.0
61,100000,10000,10,565,10000.0
62,100000,10000,10,565,10000.0
63,100000,10000,10,565,10000.0
64,100000,10000,10,565,10000.0
65,100000,10000,10,565,10000.0
66,100000,10000,10,565,10000.0
67,100000,10000,10,565,10000.0
68,100000,10000,10,565,10000.0
69,100000,10000,10,565,10000.0
70,10000,1000,15,415,10000.0
71,10000,1000,15,415,10000.0
72,10000,1000,15,415,10000.0
73,10000,1000,15,415,10000.0
74,10000,1000,15,415,10000.0
75,10000,1000,15,415,10000.0
76,10000,1000,15,415,10000.0
77,10000,1000,15,415,10000.0
78,10000,1000,15,415,442.0
79,10000,1000,15,415,10000.0
80,100000,100,15,498,10000.0
81,100000,100,15,498,10000.0
82,100000,100,15,498,10000.0
83,100000,100,15,498,10000.0
84,100000,100,15,498,10000.0
85,100000,100,15,498,10000.0
