,N,correlation_time,correlation_length,N_solutions
0,10,100,10,5
1,10,1000,10,4
2,10,10000,10,3
3,10,100,15,3
4,10,1000,15,2
5,10,10000,15,5
6,10,100,20,2
7,10,1000,20,2
8,10,10000,20,2
9,10,100,30,2
10,10,1000,30,1
11,10,10000,30,2
12,100,100,10,5
13,100,1000,10,4
14,100,10000,10,4
15,100,100,15,2
16,100,1000,15,3
17,100,10000,15,3
18,100,100,20,2
19,100,1000,20,3
20,100,10000,20,2
21,100,100,30,2
22,100,1000,30,1
23,100,10000,30,2
24,1000,100,10,3
25,1000,1000,10,4
26,1000,10000,10,4
27,1000,100,15,2
28,1000,1000,15,3
29,1000,10000,15,4
30,1000,100,20,2
31,1000,1000,20,2
32,1000,10000,20,3
33,1000,100,30,2
34,1000,1000,30,2
35,1000,10000,30,2
36,10000,100,10,0
37,10000,1000,10,0
38,10000,10000,10,0
39,10000,100,15,3
40,10000,1000,15,3
41,10000,10000,15,3
42,10000,100,20,2
43,10000,1000,20,2
44,10000,10000,20,2
45,10000,100,30,2
46,10000,1000,30,1
47,10000,10000,30,2
48,100000,100,10,3
49,100000,1000,10,5
50,100000,10000,10,5
51,100000,100,15,2
52,100000,1000,15,2
53,100000,10000,15,3
54,100000,100,20,2
55,100000,1000,20,3
56,100000,10000,20,2
57,100000,100,30,2
58,100000,1000,30,1
59,100000,10000,30,1
