"","X","R","T","m","s","mutations","survival_mean","survival_var","absorption","fixation","generations","organism_count","l","correlation_length","correlation_time","seed","dfit","N","k","b","files","seed2","mean_mass","var_mass","mean_volume","var_volume","mean_density","var_density","mean_centroid_x","var_centroid_x","mean_centroid_y","var_centroid_y","mean_nutrient","var_nutrient","snap_centroid_x","snap_var_x","snap_centroid_y","snap_var_y","snap_mass","snap_volume","final_nutrient","snap_density","qualitative"
"1",0,13.2942642661896,8.09722457700259,0.117951523170978,0.022726728725198,17,8607.7,5170419.41,8.93e-05,4,204,1,64,10,100,0,10,10,1,1,"naive_nutrient_B_s0l64L10T100N10_parameters.csv",0,1067.91657847622,69083.2633941462,1236.07501781896,98967.0314413649,0.866480660826951,0.004344919038773,31.6590314794598,360071.843530038,31.389325801539,365294.716922412,0.117951523170978,1.73e-33,31.8617994746956,339949.790683295,31.119089951005,344459.260086332,1006.27371559261,1211,0.117951523170978,0.830944438969948,"mazechains"
"2",1,13,11.237446095679,0.112318022410472,0.016010918863039,10,8643.5,9209297.05,8.93e-05,0,88,1,64,10,100,1,10,10,1,1,"naive_nutrient_B_s1l64L10T100N10_parameters.csv",1,1067.31035218797,80685.3112369034,1248.1404,107277.359623802,0.854358970462448,0.004955233467584,31.2332158366255,362535.920684965,31.3874492096778,364462.953641602,0.112318022410472,1.73e-33,31.1981239699416,296505.585756838,31.3383946809098,303836.229191114,885.736139003731,966,0.112318022410472,0.916911116981088,"lines"
"3",2,10.3231570571714,8.63813787729513,0.112895751853013,0.01752935765296,11,9067.5,3649905.45,8.93e-05,11,72,1,64,10,100,2,10,10,1,1,"naive_nutrient_B_s2l64L10T100N10_parameters.csv",2,1105.46749077315,67851.6214953073,1273.2615,85272.3465524053,0.867092633031,0.00312192293659,31.3949870735308,377986.252730435,31.1759001297812,374173.765075121,0.112895751853013,7.7e-34,30.8111411214002,376340.01779283,31.5531358736172,370697.788160435,1100.10398620882,1265,0.112895751853013,0.869647419927924,"ringchains"
"4",3,16.9932728924866,6.73727296639331,0.128632596195839,0.017785704720311,14,9064.9,3672680.09,8.93e-05,1,134,1,64,10,100,3,10,10,1,1,"naive_nutrient_B_s3l64L10T100N10_parameters.csv",3,1132.4713176932,68332.8984656555,1267.40591190108,94051.4388751876,0.894288139168533,0.005623597843738,31.3525495951795,383316.16645972,31.2490794732963,386324.414924846,0.128632596195839,3.08e-33,31.9371961123409,399994.230646637,31.7025271693716,403708.480169971,1183.13418189389,1248,0.128632596195839,0.948024184209847,"chains"
"5",4,12.0655443386997,9.99660709778857,0.118848644217634,0.02068326228221,14,9058.4,3736177.44,8.93e-05,0,115,1,64,10,100,4,10,10,1,1,"naive_nutrient_B_s4l64L10T100N10_parameters.csv",4,1266.91064579565,163448.950144853,1463.02489626556,217228.244767344,0.863856221865074,0.011378149745907,31.1660368382806,436397.278906415,30.2480348065342,430269.453473671,0.118848644217633,1.93e-34,0,0,0,0,0,0,0.118848644217634,NA,"ringchains"
"6",5,13.1431584844831,10.171114629343,0.116956510451079,0.015326656578114,9,9064.7,3672682.81,8.93e-05,13,90,1,64,10,100,5,10,10,1,1,"naive_nutrient_B_s5l64L10T100N10_parameters.csv",5,1109.21085721242,68517.0579817491,1296.5085,102630.69419717,0.856171786739885,0.004156643701971,31.3593524141219,375684.622229092,31.610515446101,376144.59551518,0.116956510451079,7.7e-34,31.1786904310041,329700.553177263,31.8545567871717,325182.426769561,957.562500256956,1253,0.116956510451079,0.764215882088552,"nan"
"7",6,10.237968089412,14.2718708175732,0.116946512360875,0.017068670845789,13,9626,1258884,8.93e-05,0,108,1,64,10,100,6,10,10,1,1,"naive_nutrient_B_s6l64L10T100N10_parameters.csv",6,983.443279303087,50186.1051585664,1178.19957104558,80056.0670954831,0.834824129515319,0.005374260156226,31.6060627059012,333303.074093768,31.1398026977859,334527.685341829,0.116946512360875,7.7e-34,31.8604582658906,448656.208112407,31.5601610413441,441403.466789754,1311.48619979974,1670,0.116946512360875,0.785321077724395,"ringchains"
"8",7,13.3147546700154,13.8613630036067,0.122454916631532,0.020675798482817,18,9627.1,1251489.69,8.93e-05,0,120,1,64,10,100,7,10,10,1,1,"naive_nutrient_B_s7l64L10T100N10_parameters.csv",7,1085.76744662976,84272.2465928312,1273.1447,103062.530014911,0.851569619965174,0.005211593222003,31.4732496494106,369042.167956065,31.4198879141298,368201.108296582,0.122454916631532,3.08e-33,31.503812039494,382147.666453739,31.353430126755,381129.35929453,1115.33241600242,1305,0.122454916631532,0.854660855174265,"rings"
"9",8,15.5621998516609,8.96073540501603,0.12864548369435,0.019595759070606,11,9059.4,3727093.44,8.93e-05,28,183,1,64,10,100,8,10,10,1,1,"naive_nutrient_B_s8l64L10T100N10_parameters.csv",8,1188.05080775265,93409.2960404141,1336.8274,120475.179127153,0.888562081456893,0.005579814768037,31.4688227639847,406101.52830698,31.3434485997325,404397.131559353,0.12864548369435,0,31.7007408708649,395764.512639059,30.9120858709369,392628.990827072,1159.19510673132,1290,0.12864548369435,0.898600857931254,"chains"
"10",9,14.7398615898848,10.7095746737268,0.099580760539075,0.014107229801961,9,9058,3740361.8,8.93e-05,4,87,1,64,10,100,9,10,10,1,1,"naive_nutrient_B_s9l64L10T100N10_parameters.csv",9,1062.44775482247,85088.5158670872,1258.1281,105905.560446435,0.841871408005762,0.005048854840625,32.5881406916931,363716.886927337,31.3998486425746,364472.129465607,0.099580760539075,7.7e-34,32.8725122272676,359832.562897486,31.4789111261568,358540.796121364,1045.75422794203,1174,0.099580760539075,0.890761693306667,"mazechains"
