,R,T,m,s,mutations,survival_mean,survival_var,absorption,fixation,generations,organism_count,l,correlation_length,correlation_time,seed,dfit,N,k,b,files,creature
1,13.0,10.0,0.13300669840922744,0.01973094069316447,3.0,10000.0,0.0,0.00035087719298245617,2.0,13.0,2.0,64.0,20.0,1000.0,549.0,0.0,100000.0,1.0,1.0,two_depletion_nutrient_B_s549l64L20T1000N100000_c1_parameters.csv,c1
1,13.0,10.0,0.12274034692234344,0.02105028079020674,4.0,10000.0,0.0,0.00035087719298245617,1.0,19.0,2.0,64.0,20.0,1000.0,303.0,0.0,1000.0,1.0,1.0,two_depletion_nutrient_B_s303l64L20T1000N1000_c2_parameters.csv,c2
1,12.16144143488581,8.868751191304414,0.13091881337094868,0.018310877065159655,5.0,9004.6,8917390.440000001,0.00035087719298245617,1.0,27.0,2.0,64.0,20.0,1000.0,187.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s187l64L20T1000N100_c1_parameters.csv,c1
1,12.51588908483645,10.31171366197247,0.12402729449235071,0.015874859600404752,4.0,10000.0,0.0,0.00035087719298245617,3.0,26.0,2.0,64.0,20.0,500.0,27.0,0.0,10.0,1.0,1.0,two_depletion_nutrient_B_s27l64L20T500N10_c2_parameters.csv,c2
1,11.07474367184794,11.463431228888643,0.11807641225112653,0.015,5.0,10000.0,0.0,0.00035087719298245617,1.0,22.0,2.0,64.0,30.0,500.0,35.0,0.0,10.0,1.0,1.0,two_depletion_nutrient_B_s35l64L30T500N10_c2_parameters.csv,c2
1,15.130398721903052,11.273982933992896,0.11555010306440937,0.017950149321960537,8.0,10000.0,0.0,0.00035087719298245617,1.0,34.0,2.0,64.0,10.0,500.0,248.0,0.0,1000.0,1.0,1.0,two_depletion_nutrient_B_s248l64L10T500N1000_c2_parameters.csv,c2
1,10.84101424845389,9.841136545948716,0.11610504912784018,0.015313749792048532,8.0,10000.0,0.0,0.00035087719298245617,1.0,50.0,2.0,64.0,30.0,1000.0,432.0,0.0,10000.0,1.0,1.0,two_depletion_nutrient_B_s432l64L30T1000N10000_c2_parameters.csv,c2
1,13.0,10.0,0.12385719409337911,0.017774365783590824,2.0,10000.0,0.0,0.00035087719298245617,1.0,8.0,2.0,64.0,10.0,500.0,249.0,0.0,1000.0,1.0,1.0,two_depletion_nutrient_B_s249l64L10T500N1000_c1_parameters.csv,c1
1,13.0,10.180567104929864,0.12897224910334665,0.01744310251611487,3.0,10000.0,0.0,0.00035087719298245617,1.0,12.0,2.0,64.0,30.0,500.0,155.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s155l64L30T500N100_c1_parameters.csv,c1
1,13.0,9.078021449554987,0.12450098313604485,0.01686090400669371,4.0,10000.0,0.0,0.00035087719298245617,1.0,29.0,2.0,64.0,20.0,500.0,21.0,0.0,10.0,1.0,1.0,two_depletion_nutrient_B_s21l64L20T500N10_c1_parameters.csv,c1
1,55.57733337530675,11.34161008498855,0.02487608110873079,0.008142121000913874,325.0,7355.2,12650546.56,0.00035087719298245617,4.0,797.0,2.0,64.0,15.0,10000.0,454.0,-11.432500000000346,10000.0,1.0,1.0,two_depletion_nutrient_B_s454l64L15T10000N10000_c2_parameters.csv,c2
1,23.692121520509648,8.488455038870063,0.052046146425869654,0.04580604616199546,97.0,9037.1,8344587.6899999995,0.00035087719298245617,1.0,830.0,2.0,64.0,20.0,10000.0,467.0,-13.410166666667465,10000.0,1.0,1.0,two_depletion_nutrient_B_s467l64L20T10000N10000_c1_parameters.csv,c1
1,13.0,10.0,0.1197613274919901,0.015,2.0,10000.0,0.0,0.00035087719298245617,2.0,12.0,2.0,64.0,30.0,1000.0,74.0,0.0,10.0,1.0,1.0,two_depletion_nutrient_B_s74l64L30T1000N10_c2_parameters.csv,c2
1,12.198014146046365,10.0,0.12025076703295536,0.015,3.0,10000.0,0.0,0.00035087719298245617,1.0,47.0,2.0,64.0,30.0,500.0,277.0,0.0,1000.0,1.0,1.0,two_depletion_nutrient_B_s277l64L30T500N1000_c2_parameters.csv,c2
1,13.0,9.099906624406092,0.12477248689001608,0.017538559743045207,4.0,10000.0,0.0,0.00035087719298245617,2.0,23.0,2.0,64.0,20.0,500.0,388.0,0.0,10000.0,1.0,1.0,two_depletion_nutrient_B_s388l64L20T500N10000_c1_parameters.csv,c1
